Lugar,X,Y
Carrasco,587676.8445644991,6140718.72619068
Casavalle,575368.9595457138,6145108.822654787
Cerro,568870.0334467482,6139034.330862074
Chacarita,581735.6142047504,6145173.341908038
Ciudad Vieja,572998.6491429339,6137444.702388216
Colon,568905.3452070301,6146665.787838668
Curva de Maronas,579219.7083082246,6142261.304226151
La Blanqueada,576334.0253740374,6139991.829556867
La Esperanza,585512.4180039193,6149876.896241905
Lezica,569915.8299293345,6150952.397772465
Malvin,580960.0877338201,6137944.44238952
Manga,579103.0526774172,6150575.409689726
Paso de la Arena,567576.107241172,6144173.936817062
Prado,573268.0099610791,6142934.988822092
Punta Carretas,576700.0769520594,6133903.887908628
Santiago Vazquez,559189.0780458208,6150356.695967022
