Time,Ciudad Vieja,Punta Carretas,Curva de Maroñas,La Blanqueada,Prado,Lezica,Casavalle,Carrasco,Manga,Cerro,Malvín,La Esperanza,Santiago Vázquez,Colón,Paso de la Arena,Chacarita
2025-01-18 16:00:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:00:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:00:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:00:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:01:03,,,0.00,,,,,,,,,,,,,
2025-01-18 16:01:08,,,,,,,,,,,,,,0.00,,
2025-01-18 16:01:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:01:21,,0.00,,,,,,,,,,,,,,
2025-01-18 16:02:03,0.00,,,,,,,,,,,,,,,
2025-01-18 16:02:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:02:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:02:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:02:42,,,,,,,,,,,,,0.00,,,
2025-01-18 16:04:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:04:46,,,,,,,,,0.00,,,,,,,
2025-01-18 16:05:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:05:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:05:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:05:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:06:03,,,0.00,,,,,,,,,,,,,
2025-01-18 16:06:08,,,,,,,,,,,,,,0.00,,
2025-01-18 16:06:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:06:21,,0.00,,,,,,,,,,,,,,
2025-01-18 16:07:04,0.00,,,,,,,,,,,,,,,
2025-01-18 16:07:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:07:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:07:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:07:43,,,,,,,,,,,,,0.00,,,
2025-01-18 16:09:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:09:46,,,,,,,,,0.00,,,,,,,
2025-01-18 16:10:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:10:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:10:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:10:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:11:03,,,0.00,,,,,,,,,,,,,
2025-01-18 16:11:08,,,,,,,,,,,,,,0.00,,
2025-01-18 16:11:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:11:21,,0.00,,,,,,,,,,,,,,
2025-01-18 16:12:03,0.00,,,,,,,,,,,,,,,
2025-01-18 16:12:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:12:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:12:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:12:43,,,,,,,,,,,,,0.00,,,
2025-01-18 16:14:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:14:46,,,,,,,,,0.00,,,,,,,
2025-01-18 16:15:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:15:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:15:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:15:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:16:03,,,0.00,,,,,,,,,,,,,
2025-01-18 16:16:08,,,,,,,,,,,,,,0.00,,
2025-01-18 16:16:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:16:21,,0.00,,,,,,,,,,,,,,
2025-01-18 16:17:04,0.00,,,,,,,,,,,,,,,
2025-01-18 16:17:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:17:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:17:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:17:43,,,,,,,,,,,,,0.00,,,
2025-01-18 16:19:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:19:46,,,,,,,,,0.00,,,,,,,
2025-01-18 16:20:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:20:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:20:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:20:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:21:03,,,0.00,,,,,,,,,,,,,
2025-01-18 16:21:08,,,,,,,,,,,,,,0.00,,
2025-01-18 16:21:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:21:21,,0.00,,,,,,,,,,,,,,
2025-01-18 16:22:03,0.00,,,,,,,,,,,,,,,
2025-01-18 16:22:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:22:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:22:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:22:43,,,,,,,,,,,,,0.00,,,
2025-01-18 16:24:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:24:46,,,,,,,,,0.00,,,,,,,
2025-01-18 16:25:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:25:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:25:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:25:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:26:03,,,0.00,,,,,,,,,,,,,
2025-01-18 16:26:08,,,,,,,,,,,,,,0.00,,
2025-01-18 16:26:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:26:21,,0.00,,,,,,,,,,,,,,
2025-01-18 16:27:03,0.00,,,,,,,,,,,,,,,
2025-01-18 16:27:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:27:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:27:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:27:43,,,,,,,,,,,,,0.00,,,
2025-01-18 16:29:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:29:46,,,,,,,,,0.00,,,,,,,
2025-01-18 16:30:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:30:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:30:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:30:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:31:04,,,0.00,,,,,,,,,,,,,
2025-01-18 16:31:08,,,,,,,,,,,,,,0.00,,
2025-01-18 16:31:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:31:21,,0.00,,,,,,,,,,,,,,
2025-01-18 16:32:03,0.00,,,,,,,,,,,,,,,
2025-01-18 16:32:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:32:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:32:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:32:43,,,,,,,,,,,,,0.00,,,
2025-01-18 16:34:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:34:46,,,,,,,,,0.00,,,,,,,
2025-01-18 16:35:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:35:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:35:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:35:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:36:04,,,0.00,,,,,,,,,,,,,
2025-01-18 16:36:08,,,,,,,,,,,,,,0.00,,
2025-01-18 16:36:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:36:21,,0.00,,,,,,,,,,,,,,
2025-01-18 16:37:03,0.00,,,,,,,,,,,,,,,
2025-01-18 16:37:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:37:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:37:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:37:43,,,,,,,,,,,,,0.00,,,
2025-01-18 16:39:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:39:46,,,,,,,,,0.00,,,,,,,
2025-01-18 16:40:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:40:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:40:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:40:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:41:04,,,0.00,,,,,,,,,,,,,
2025-01-18 16:41:08,,,,,,,,,,,,,,0.00,,
2025-01-18 16:41:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:41:21,,0.00,,,,,,,,,,,,,,
2025-01-18 16:42:03,0.00,,,,,,,,,,,,,,,
2025-01-18 16:42:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:42:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:42:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:42:43,,,,,,,,,,,,,0.00,,,
2025-01-18 16:44:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:44:46,,,,,,,,,0.00,,,,,,,
2025-01-18 16:45:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:45:14,,,,,,0.00,,,,,,,,,,
