"Time","Ciudad Vieja","Punta Carretas","Curva de Maroñas","La Blanqueada","Prado","Lezica","Casavalle","Carrasco","Manga","Cerro","Malvín","La Esperanza","Santiago Vázquez","Colón","Paso de la Arena"
2024-11-16 00:00:03,,,,,,,,,,,,,,0.00,
2024-11-16 00:00:16,,,,0.00,,,,,,,,,,,
2024-11-16 00:00:18,0.00,,,,,,,,,,,,,,
2024-11-16 00:00:20,,,,,,0.00,,,,,,,,,
2024-11-16 00:01:31,,,,,,,0.00,,,,,,,,
2024-11-16 00:02:09,,,,,,,,0.00,,,,,,,
2024-11-16 00:03:13,,,,,,,,,,,,0.00,,,
2024-11-16 00:03:22,,,,,0.00,,,,,,,,,,
2024-11-16 00:03:34,,,,,,,,,0.00,,,,,,
2024-11-16 00:03:58,,,,,,,,,,0.00,,,,,
2024-11-16 00:04:16,,,,,,,,,,,0.00,,,,
2024-11-16 00:04:25,,,0.00,,,,,,,,,,,,
2024-11-16 00:04:32,,,,,,,,,,,,,,0.00,
2024-11-16 00:04:38,,0.00,,,,,,,,,,,,,0.00
2024-11-16 00:05:16,,,,0.00,,,,,,,,,,,
2024-11-16 00:05:18,0.00,,,,,,,,,,,,,,
2024-11-16 00:05:20,,,,,,0.00,,,,,,,,,
2024-11-16 00:06:31,,,,,,,0.00,,,,,,,,
2024-11-16 00:07:09,,,,,,,,0.00,,,,,,,
2024-11-16 00:08:13,,,,,,,,,,,,0.00,,,
2024-11-16 00:08:22,,,,,0.00,,,,,,,,,,
2024-11-16 00:08:34,,,,,,,,,0.00,,,,,,
2024-11-16 00:08:58,,,,,,,,,,0.00,,,,,
2024-11-16 00:09:16,,,,,,,,,,,0.00,,,,
2024-11-16 00:09:25,,,0.00,,,,,,,,,,,,
2024-11-16 00:09:32,,,,,,,,,,,,,,0.00,
2024-11-16 00:09:38,,0.00,,,,,,,,,,,,,0.00
2024-11-16 00:10:16,,,,0.00,,,,,,,,,,,
2024-11-16 00:10:18,0.00,,,,,,,,,,,,,,
2024-11-16 00:10:20,,,,,,0.00,,,,,,,,,
2024-11-16 00:11:31,,,,,,,0.00,,,,,,,,
2024-11-16 00:12:09,,,,,,,,0.00,,,,,,,
2024-11-16 00:13:13,,,,,,,,,,,,0.00,,,
2024-11-16 00:13:22,,,,,0.00,,,,,,,,,,
