"Time","Ciudad Vieja","Punta Carretas","Curva de Maroñas","La Blanqueada","Prado","Lezica","Casavalle","Carrasco","Manga","Cerro","Malvín","La Esperanza","Santiago Vázquez","Colón","Paso de la Arena"
2024-11-26 00:00:16,,,,0.00,,,,,,,,,,,
2024-11-26 00:00:30,,,,,,,,,,,,,0.00,,
2024-11-26 00:00:36,,,,,,,,0.00,,,,,,,
2024-11-26 00:00:41,,,,,,,,,,,0.00,,,,
2024-11-26 00:02:26,,,,,,,,,0.00,,,,,,
2024-11-26 00:02:55,,,,,,,,,,,,,,0.00,
2024-11-26 00:02:55,,,,,,,0.00,,,,,,,,
2024-11-26 00:03:02,,,,,0.00,,,,,,,,,,
2024-11-26 00:03:04,,,,,,0.00,,,,,,,,,
2024-11-26 00:03:05,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 00:03:20,,,,,,,,,,0.00,,,,,
2024-11-26 00:03:39,0.20,,,,,,,,,,,,,,
2024-11-26 00:04:03,,,,,,,,,,,,0.00,,,
2024-11-26 00:05:16,,,,0.00,,,,,,,,,,,
2024-11-26 00:05:30,,,,,,,,,,,,,0.00,,
2024-11-26 00:05:36,,,,,,,,0.00,,,,,,,
2024-11-26 00:05:41,,,,,,,,,,,0.00,,,,
2024-11-26 00:07:26,,,,,,,,,0.00,,,,,,
2024-11-26 00:07:55,,,,,,,,,,,,,,0.00,
2024-11-26 00:07:55,,,,,,,0.00,,,,,,,,
2024-11-26 00:08:02,,,,,0.00,,,,,,,,,,
2024-11-26 00:08:05,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 00:08:05,,,,,,0.00,,,,,,,,,
2024-11-26 00:08:20,,,,,,,,,,0.00,,,,,
2024-11-26 00:08:38,0.20,,,,,,,,,,,,,,
2024-11-26 00:09:03,,,,,,,,,,,,0.00,,,
2024-11-26 00:10:16,,,,0.00,,,,,,,,,,,
2024-11-26 00:10:30,,,,,,,,,,,,,0.00,,
2024-11-26 00:10:36,,,,,,,,0.00,,,,,,,
2024-11-26 00:10:41,,,,,,,,,,,0.00,,,,
2024-11-26 00:12:26,,,,,,,,,0.00,,,,,,
2024-11-26 00:12:55,,,,,,,,,,,,,,0.00,
2024-11-26 00:12:55,,,,,,,0.00,,,,,,,,
2024-11-26 00:13:02,,,,,0.00,,,,,,,,,,
2024-11-26 00:13:05,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 00:13:05,,,,,,0.00,,,,,,,,,
2024-11-26 00:13:21,,,,,,,,,,0.00,,,,,
2024-11-26 00:13:39,0.20,,,,,,,,,,,,,,
2024-11-26 00:14:03,,,,,,,,,,,,0.00,,,
2024-11-26 00:15:16,,,,0.00,,,,,,,,,,,
2024-11-26 00:15:30,,,,,,,,,,,,,0.00,,
2024-11-26 00:15:36,,,,,,,,0.00,,,,,,,
2024-11-26 00:15:41,,,,,,,,,,,0.00,,,,
2024-11-26 00:17:26,,,,,,,,,0.00,,,,,,
2024-11-26 00:17:55,,,,,,,0.00,,,,,,,,
2024-11-26 00:17:56,,,,,,,,,,,,,,0.00,
2024-11-26 00:18:02,,,,,0.00,,,,,,,,,,
2024-11-26 00:18:05,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 00:18:05,,,,,,0.00,,,,,,,,,
2024-11-26 00:18:21,,,,,,,,,,0.00,,,,,
2024-11-26 00:18:39,0.20,,,,,,,,,,,,,,
2024-11-26 00:19:03,,,,,,,,,,,,0.00,,,
2024-11-26 00:20:16,,,,0.00,,,,,,,,,,,
2024-11-26 00:20:30,,,,,,,,,,,,,0.00,,
2024-11-26 00:20:36,,,,,,,,0.00,,,,,,,
2024-11-26 00:20:41,,,,,,,,,,,0.00,,,,
2024-11-26 00:22:26,,,,,,,,,0.00,,,,,,
2024-11-26 00:22:55,,,,,,,0.00,,,,,,,,
2024-11-26 00:22:56,,,,,,,,,,,,,,0.00,
2024-11-26 00:23:02,,,,,0.00,,,,,,,,,,
2024-11-26 00:23:05,,,0.00,,,,,,,,,,,,0.00
2024-11-26 00:23:05,,,,,,0.00,,,,,,,,,
2024-11-26 00:23:06,,0.00,,,,,,,,,,,,,
2024-11-26 00:23:21,,,,,,,,,,0.00,,,,,
2024-11-26 00:23:40,0.20,,,,,,,,,,,,,,
2024-11-26 00:24:03,,,,,,,,,,,,0.00,,,
2024-11-26 00:25:16,,,,0.00,,,,,,,,,,,
2024-11-26 00:25:30,,,,,,,,,,,,,0.00,,
2024-11-26 00:25:36,,,,,,,,0.00,,,,,,,
2024-11-26 00:25:41,,,,,,,,,,,0.00,,,,
2024-11-26 00:27:26,,,,,,,,,0.00,,,,,,
2024-11-26 00:27:55,,,,,,,0.00,,,,,,,,
