"Time","Ciudad Vieja","Punta Carretas","Curva de Maroñas","La Blanqueada","Prado","Lezica","Casavalle","Carrasco","Manga","Cerro","Malvín","La Esperanza","Santiago Vázquez","Colón","Paso de la Arena"
2024-10-23 00:00:10,,,,,,,,,,0.00,,,,,
2024-10-23 00:00:35,,,,,,,,,,,,,0.00,,
2024-10-23 00:00:40,,,,,,,,,0.00,,,,,,
2024-10-23 00:00:59,,,,,,0.00,,,,,,,,,
2024-10-23 00:01:21,,,0.00,,,,,,,,,,,,
2024-10-23 00:01:22,,,,,,,,,,,,,,,0.00
2024-10-23 00:01:23,,0.00,,,,,,,,,,,,0.00,
2024-10-23 00:02:05,0.00,,,,,,,,,,,,,,
2024-10-23 00:02:08,,,,,,,,,,,0.00,,,,
2024-10-23 00:02:48,,,,,,,0.00,,,,,,,,
2024-10-23 00:03:00,,,,0.00,,,,,,,,,,,
2024-10-23 00:03:06,,,,,,,,,,,,0.00,,,
2024-10-23 00:03:10,,,,,0.00,,,,,,,,,,
2024-10-23 00:03:57,,,,,,,,0.00,,,,,,,
2024-10-23 00:05:10,,,,,,,,,,0.00,,,,,
2024-10-23 00:05:35,,,,,,,,,,,,,0.00,,
2024-10-23 00:05:40,,,,,,,,,0.00,,,,,,
2024-10-23 00:05:59,,,,,,0.00,,,,,,,,,
2024-10-23 00:06:21,,,0.00,,,,,,,,,,,,
2024-10-23 00:06:22,,,,,,,,,,,,,,,0.00
2024-10-23 00:06:23,,0.00,,,,,,,,,,,,0.00,
2024-10-23 00:07:05,0.00,,,,,,,,,,,,,,
2024-10-23 00:07:08,,,,,,,,,,,0.00,,,,
2024-10-23 00:07:48,,,,,,,0.00,,,,,,,,
2024-10-23 00:08:00,,,,0.00,,,,,,,,,,,
2024-10-23 00:08:06,,,,,,,,,,,,0.00,,,
2024-10-23 00:08:10,,,,,0.00,,,,,,,,,,
2024-10-23 00:08:57,,,,,,,,0.00,,,,,,,
2024-10-23 00:10:10,,,,,,,,,,0.00,,,,,
2024-10-23 00:10:35,,,,,,,,,,,,,0.00,,
2024-10-23 00:10:40,,,,,,,,,0.00,,,,,,
