"Time","Ciudad Vieja","Punta Carretas","Curva de Maroñas","La Blanqueada","Prado","Lezica","Casavalle","Carrasco","Manga","Cerro","Malvín","La Esperanza","Santiago Vázquez","Colón","Paso de la Arena","Chacarita"
2025-02-05 08:16:59,,,,0.00,,,,,,,,,,,,
2025-02-05 08:17:04,,,,,,,,,,,,,,0.00,,
2025-02-05 08:17:05,,,,,,,,,,0.00,,,,,,
2025-02-05 08:17:12,,,,,,0.00,,,,,,,,,,
2025-02-05 08:17:19,,,,,,,,,,,,,,,0.00,
2025-02-05 08:17:20,,,0.00,,,,,,,,,,,,,
2025-02-05 08:17:21,,0.00,,,,,,,,,,,,,,
2025-02-05 08:17:48,,,,,0.00,,,,,,,,,,,
2025-02-05 08:18:04,0.00,,,,,,,,,,,,,,,
2025-02-05 08:18:08,,,,,,,,,0.00,,,,,,,
2025-02-05 08:18:32,,,,,,,,3.05,,,,,,,,
2025-02-05 08:19:22,,,,,,,,,,,,,0.00,,,
2025-02-05 08:20:15,,,,,,,,,,,,0.00,,,,
2025-02-05 08:20:35,,,,,,,,,,,,,,,,0.00
2025-02-05 08:21:31,,,,,,,0.00,,,,,,,,,
2025-02-05 08:21:44,,,,,,,,,,,0.00,,,,,
2025-02-05 08:21:59,,,,0.00,,,,,,,,,,,,
2025-02-05 08:22:04,,,,,,,,,,,,,,0.00,,
2025-02-05 08:22:05,,,,,,,,,,0.00,,,,,,
2025-02-05 08:22:12,,,,,,0.00,,,,,,,,,,
2025-02-05 08:22:19,,,,,,,,,,,,,,,0.00,
2025-02-05 08:22:20,,0.00,0.00,,,,,,,,,,,,,
2025-02-05 08:22:48,,,,,0.00,,,,,,,,,,,
2025-02-05 08:23:04,0.00,,,,,,,,,,,,,,,
2025-02-05 08:23:08,,,,,,,,,0.00,,,,,,,
2025-02-05 08:23:32,,,,,,,,3.05,,,,,,,,
2025-02-05 08:24:22,,,,,,,,,,,,,0.00,,,
2025-02-05 08:25:15,,,,,,,,,,,,0.00,,,,
2025-02-05 08:25:35,,,,,,,,,,,,,,,,0.00
2025-02-05 08:26:31,,,,,,,0.00,,,,,,,,,
2025-02-05 08:26:44,,,,,,,,,,,0.00,,,,,
2025-02-05 08:26:59,,,,0.00,,,,,,,,,,,,
2025-02-05 08:27:04,,,,,,,,,,,,,,0.00,,
2025-02-05 08:27:05,,,,,,,,,,0.00,,,,,,
2025-02-05 08:27:12,,,,,,0.00,,,,,,,,,,
2025-02-05 08:27:19,,,,,,,,,,,,,,,0.00,
2025-02-05 08:27:20,,0.00,0.00,,,,,,,,,,,,,
2025-02-05 08:27:48,,,,,0.00,,,,,,,,,,,
2025-02-05 08:28:04,0.00,,,,,,,,,,,,,,,
2025-02-05 08:28:08,,,,,,,,,0.00,,,,,,,
2025-02-05 08:28:32,,,,,,,,3.05,,,,,,,,
2025-02-05 08:29:22,,,,,,,,,,,,,0.00,,,
2025-02-05 08:30:15,,,,,,,,,,,,0.00,,,,
2025-02-05 08:30:35,,,,,,,,,,,,,,,,0.00
2025-02-05 08:31:31,,,,,,,0.00,,,,,,,,,
2025-02-05 08:31:44,,,,,,,,,,,0.00,,,,,
2025-02-05 08:31:59,,,,0.00,,,,,,,,,,,,
2025-02-05 08:32:04,,,,,,,,,,,,,,0.00,,
2025-02-05 08:32:05,,,,,,,,,,0.00,,,,,,
2025-02-05 08:32:12,,,,,,0.00,,,,,,,,,,
2025-02-05 08:32:19,,,,,,,,,,,,,,,0.51,
2025-02-05 08:32:20,,0.00,0.00,,,,,,,,,,,,,
2025-02-05 08:32:48,,,,,0.00,,,,,,,,,,,
2025-02-05 08:33:04,0.00,,,,,,,,,,,,,,,
2025-02-05 08:33:08,,,,,,,,,0.00,,,,,,,
2025-02-05 08:33:32,,,,,,,,3.05,,,,,,,,
2025-02-05 08:34:22,,,,,,,,,,,,,0.00,,,
2025-02-05 08:35:15,,,,,,,,,,,,0.00,,,,
2025-02-05 08:35:35,,,,,,,,,,,,,,,,0.00
2025-02-05 08:36:31,,,,,,,0.00,,,,,,,,,
2025-02-05 08:36:44,,,,,,,,,,,0.00,,,,,
2025-02-05 08:36:59,,,,0.00,,,,,,,,,,,,
2025-02-05 08:37:04,,,,,,,,,,,,,,0.00,,
2025-02-05 08:37:05,,,,,,,,,,0.00,,,,,,
2025-02-05 08:37:12,,,,,,0.00,,,,,,,,,,
2025-02-05 08:37:19,,,,,,,,,,,,,,,0.51,
2025-02-05 08:37:20,,0.00,,,,,,,,,,,,,,
2025-02-05 08:37:23,,,0.00,,,,,,,,,,,,,
2025-02-05 08:37:48,,,,,0.00,,,,,,,,,,,
2025-02-05 08:38:04,0.00,,,,,,,,,,,,,,,
2025-02-05 08:38:08,,,,,,,,,0.00,,,,,,,
2025-02-05 08:38:32,,,,,,,,3.05,,,,,,,,
2025-02-05 08:39:22,,,,,,,,,,,,,0.00,,,
2025-02-05 08:40:15,,,,,,,,,,,,0.00,,,,
2025-02-05 08:40:36,,,,,,,,,,,,,,,,0.00
2025-02-05 08:41:31,,,,,,,0.00,,,,,,,,,
2025-02-05 08:41:44,,,,,,,,,,,0.00,,,,,
2025-02-05 08:41:59,,,,0.00,,,,,,,,,,,,
2025-02-05 08:42:04,,,,,,,,,,,,,,0.00,,
2025-02-05 08:42:05,,,,,,,,,,0.00,,,,,,
2025-02-05 08:42:12,,,,,,0.00,,,,,,,,,,
2025-02-05 08:42:19,,,,,,,,,,,,,,,0.51,
2025-02-05 08:42:20,,0.00,0.00,,,,,,,,,,,,,
2025-02-05 08:42:48,,,,,0.00,,,,,,,,,,,
2025-02-05 08:43:04,0.00,,,,,,,,,,,,,,,
2025-02-05 08:43:08,,,,,,,,,0.00,,,,,,,
2025-02-05 08:43:32,,,,,,,,3.05,,,,,,,,
2025-02-05 08:44:22,,,,,,,,,,,,,0.00,,,
2025-02-05 08:45:15,,,,,,,,,,,,0.00,,,,
2025-02-05 08:45:36,,,,,,,,,,,,,,,,0.00
2025-02-05 08:46:31,,,,,,,0.00,,,,,,,,,
2025-02-05 08:46:44,,,,,,,,,,,0.00,,,,,
2025-02-05 08:46:59,,,,0.00,,,,,,,,,,,,
2025-02-05 08:47:04,,,,,,,,,,,,,,0.00,,
2025-02-05 08:47:05,,,,,,,,,,0.00,,,,,,
2025-02-05 08:47:12,,,,,,0.00,,,,,,,,,,
2025-02-05 08:47:20,,0.00,0.00,,,,,,,,,,,,0.51,
2025-02-05 08:47:51,,,,,0.00,,,,,,,,,,,
2025-02-05 08:48:05,0.00,,,,,,,,,,,,,,,
2025-02-05 08:48:08,,,,,,,,,0.00,,,,,,,
2025-02-05 08:48:32,,,,,,,,4.83,,,,,,,,
2025-02-05 08:49:22,,,,,,,,,,,,,0.00,,,
2025-02-05 08:50:15,,,,,,,,,,,,0.00,,,,
2025-02-05 08:50:36,,,,,,,,,,,,,,,,0.00
2025-02-05 08:51:31,,,,,,,0.00,,,,,,,,,
2025-02-05 08:51:44,,,,,,,,,,,0.00,,,,,
2025-02-05 08:51:59,,,,0.00,,,,,,,,,,,,
2025-02-05 08:52:04,,,,,,,,,,,,,,0.00,,
2025-02-05 08:52:05,,,,,,,,,,0.00,,,,,,
2025-02-05 08:52:12,,,,,,0.00,,,,,,,,,,
2025-02-05 08:52:20,,0.00,0.00,,,,,,,,,,,,0.51,
2025-02-05 08:52:51,,,,,0.00,,,,,,,,,,,
2025-02-05 08:53:04,0.00,,,,,,,,,,,,,,,
2025-02-05 08:53:08,,,,,,,,,0.00,,,,,,,
2025-02-05 08:53:32,,,,,,,,4.83,,,,,,,,
2025-02-05 08:54:22,,,,,,,,,,,,,0.00,,,
2025-02-05 08:55:15,,,,,,,,,,,,0.00,,,,
2025-02-05 08:55:36,,,,,,,,,,,,,,,,0.00
2025-02-05 08:56:31,,,,,,,0.00,,,,,,,,,
2025-02-05 08:56:44,,,,,,,,,,,0.00,,,,,
2025-02-05 08:56:59,,,,0.00,,,,,,,,,,,,
2025-02-05 08:57:04,,,,,,,,,,,,,,0.00,,
2025-02-05 08:57:05,,,,,,,,,,0.00,,,,,,
2025-02-05 08:57:12,,,,,,0.00,,,,,,,,,,
2025-02-05 08:57:20,,8.38,0.00,,,,,,,,,,,,0.51,
2025-02-05 08:57:51,,,,,0.00,,,,,,,,,,,
2025-02-05 08:58:04,0.00,,,,,,,,,,,,,,,
2025-02-05 08:58:08,,,,,,,,,0.00,,,,,,,
2025-02-05 08:58:32,,,,,,,,5.33,,,,,,,,
2025-02-05 08:59:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:00:15,,,,,,,,,,,,0.00,,,,
2025-02-05 09:00:36,,,,,,,,,,,,,,,,0.00
2025-02-05 09:01:31,,,,,,,0.00,,,,,,,,,
2025-02-05 09:01:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:01:59,,,,0.00,,,,,,,,,,,,
2025-02-05 09:02:04,,,,,,,,,,,,,,0.00,,
2025-02-05 09:02:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:02:12,,,,,,0.00,,,,,,,,,,
2025-02-05 09:02:20,,,0.00,,,,,,,,,,,,0.51,
2025-02-05 09:02:24,,11.43,,,,,,,,,,,,,,
2025-02-05 09:02:51,,,,,0.00,,,,,,,,,,,
2025-02-05 09:03:05,0.00,,,,,,,,,,,,,,,
2025-02-05 09:03:09,,,,,,,,,0.00,,,,,,,
2025-02-05 09:03:32,,,,,,,,5.33,,,,,,,,
2025-02-05 09:04:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:05:15,,,,,,,,,,,,0.00,,,,
2025-02-05 09:05:36,,,,,,,,,,,,,,,,0.00
2025-02-05 09:06:31,,,,,,,0.00,,,,,,,,,
2025-02-05 09:06:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:06:59,,,,0.25,,,,,,,,,,,,
2025-02-05 09:07:04,,,,,,,,,,,,,,0.00,,
2025-02-05 09:07:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:07:12,,,,,,0.00,,,,,,,,,,
2025-02-05 09:07:20,,,,,,,,,,,,,,,0.51,
2025-02-05 09:07:21,,11.43,0.00,,,,,,,,,,,,,
