Time,Ciudad Vieja,Punta Carretas,Curva de Maroñas,La Blanqueada,Prado,Lezica,Casavalle,Carrasco,Manga,Cerro,Malvín,La Esperanza,Santiago Vázquez,Colón,Paso de la Arena
2024-11-17 04:54:25,,,,,,,,,,,0.00,,,,
2024-11-17 04:54:46,,,0.00,,,,,,,,,,,,
2024-11-17 04:54:55,,,,,,,,,,,,,,0.00,
2024-11-17 04:55:02,,,,,,,,,,,,,,,0.00
2024-11-17 04:55:04,,0.00,,,,,,,,,,,,,
2024-11-17 04:55:29,,,,0.00,,,,,,,,,,,
2024-11-17 04:55:40,,,,,,0.00,,,,,,,,,
2024-11-17 04:55:43,0.00,,,,,,,,,,,,,,
2024-11-17 04:56:36,,,,,,,,,,0.00,,,,,
2024-11-17 04:56:48,,,,,,,1.00,,,,,,,,
2024-11-17 04:57:30,,,,,,,,0.00,,,,,,,
2024-11-17 04:58:34,,,,,0.00,,,,,,,,,,
2024-11-17 04:58:34,,,,,,,,,,,,,0.00,,
2024-11-17 04:58:38,,,,,,,,,,,,0.00,,,
2024-11-17 04:59:00,,,,,,,,,0.00,,,,,,
2024-11-17 04:59:25,,,,,,,,,,,0.00,,,,
2024-11-17 04:59:46,,,0.00,,,,,,,,,,,,
2024-11-17 04:59:55,,,,,,,,,,,,,,0.00,
2024-11-17 05:00:02,,,,,,,,,,,,,,,0.00
2024-11-17 05:00:04,,0.00,,,,,,,,,,,,,
2024-11-17 05:00:29,,,,0.00,,,,,,,,,,,
2024-11-17 05:00:40,,,,,,0.00,,,,,,,,,
2024-11-17 05:00:42,0.00,,,,,,,,,,,,,,
2024-11-17 05:01:37,,,,,,,,,,0.00,,,,,
2024-11-17 05:01:48,,,,,,,2.00,,,,,,,,
2024-11-17 05:02:30,,,,,,,,0.00,,,,,,,
2024-11-17 05:03:34,,,,,0.00,,,,,,,,,,
2024-11-17 05:03:34,,,,,,,,,,,,,0.51,,
2024-11-17 05:03:38,,,,,,,,,,,,0.00,,,
2024-11-17 05:04:00,,,,,,,,,0.00,,,,,,
2024-11-17 05:04:25,,,,,,,,,,,0.00,,,,
2024-11-17 05:04:46,,,0.00,,,,,,,,,,,,
2024-11-17 05:04:55,,,,,,,,,,,,,,0.00,
2024-11-17 05:05:02,,,,,,,,,,,,,,,0.00
2024-11-17 05:05:04,,0.00,,,,,,,,,,,,,
2024-11-17 05:05:29,,,,0.00,,,,,,,,,,,
2024-11-17 05:05:40,,,,,,0.00,,,,,,,,,
2024-11-17 05:05:44,0.00,,,,,,,,,,,,,,
2024-11-17 05:06:37,,,,,,,,,,0.00,,,,,
2024-11-17 05:06:48,,,,,,,0.00,,,,,,,,
2024-11-17 05:07:30,,,,,,,,0.00,,,,,,,
2024-11-17 05:08:34,,,,,0.00,,,,,,,,,,
2024-11-17 05:08:34,,,,,,,,,,,,,0.51,,
2024-11-17 05:08:38,,,,,,,,,,,,0.00,,,
2024-11-17 05:09:00,,,,,,,,,0.00,,,,,,
2024-11-17 05:09:25,,,,,,,,,,,0.00,,,,
2024-11-17 05:09:46,,,0.00,,,,,,,,,,,,
2024-11-17 05:09:55,,,,,,,,,,,,,,0.00,
2024-11-17 05:10:02,,,,,,,,,,,,,,,0.00
2024-11-17 05:10:04,,0.00,,,,,,,,,,,,,
2024-11-17 05:10:29,,,,0.00,,,,,,,,,,,
2024-11-17 05:10:40,,,,,,0.00,,,,,,,,,
2024-11-17 05:10:42,0.00,,,,,,,,,,,,,,
2024-11-17 05:11:37,,,,,,,,,,0.00,,,,,
2024-11-17 05:11:48,,,,,,,0.00,,,,,,,,
2024-11-17 05:12:30,,,,,,,,0.00,,,,,,,
2024-11-17 05:13:34,,,,,0.00,,,,,,,,,,
2024-11-17 05:13:34,,,,,,,,,,,,,1.02,,
2024-11-17 05:13:38,,,,,,,,,,,,0.00,,,
2024-11-17 05:14:00,,,,,,,,,0.00,,,,,,
2024-11-17 05:14:25,,,,,,,,,,,0.00,,,,
2024-11-17 05:14:46,,,0.00,,,,,,,,,,,,
2024-11-17 05:14:55,,,,,,,,,,,,,,0.00,
2024-11-17 05:15:02,,,,,,,,,,,,,,,0.76
2024-11-17 05:15:04,,0.00,,,,,,,,,,,,,
2024-11-17 05:15:29,,,,0.00,,,,,,,,,,,
2024-11-17 05:15:40,,,,,,0.00,,,,,,,,,
2024-11-17 05:15:42,0.00,,,,,,,,,,,,,,
2024-11-17 05:16:37,,,,,,,,,,0.76,,,,,
2024-11-17 05:16:48,,,,,,,0.00,,,,,,,,
2024-11-17 05:17:30,,,,,,,,0.00,,,,,,,
2024-11-17 05:18:34,,,,,0.00,,,,,,,,,,
2024-11-17 05:18:34,,,,,,,,,,,,,1.27,,
2024-11-17 05:18:38,,,,,,,,,,,,0.00,,,
2024-11-17 05:19:00,,,,,,,,,0.00,,,,,,
2024-11-17 05:19:25,,,,,,,,,,,0.00,,,,
2024-11-17 05:19:46,,,0.00,,,,,,,,,,,,
2024-11-17 05:19:55,,,,,,,,,,,,,,0.00,
2024-11-17 05:20:02,,,,,,,,,,,,,,,0.76
2024-11-17 05:20:04,,0.00,,,,,,,,,,,,,
2024-11-17 05:20:29,,,,0.00,,,,,,,,,,,
2024-11-17 05:20:40,,,,,,0.00,,,,,,,,,
2024-11-17 05:20:42,0.20,,,,,,,,,,,,,,
2024-11-17 05:21:37,,,,,,,,,,1.27,,,,,
2024-11-17 05:21:48,,,,,,,0.00,,,,,,,,
2024-11-17 05:22:30,,,,,,,,0.00,,,,,,,
2024-11-17 05:23:34,,,,,0.00,,,,,,,,,,
2024-11-17 05:23:34,,,,,,,,,,,,,2.54,,
2024-11-17 05:23:38,,,,,,,,,,,,0.00,,,
2024-11-17 05:24:00,,,,,,,,,0.00,,,,,,
2024-11-17 05:24:25,,,,,,,,,,,0.00,,,,
2024-11-17 05:24:46,,,0.00,,,,,,,,,,,,
2024-11-17 05:24:55,,,,,,,,,,,,,,0.00,
2024-11-17 05:25:02,,,,,,,,,,,,,,,0.76
2024-11-17 05:25:04,,0.00,,,,,,,,,,,,,
2024-11-17 05:25:29,,,,0.25,,,,,,,,,,,
2024-11-17 05:25:40,,,,,,0.00,,,,,,,,,
2024-11-17 05:25:43,0.80,,,,,,,,,,,,,,
2024-11-17 05:26:37,,,,,,,,,,1.27,,,,,
2024-11-17 05:26:48,,,,,,,0.00,,,,,,,,
2024-11-17 05:27:30,,,,,,,,0.00,,,,,,,
2024-11-17 05:28:34,,,,,0.00,,,,,,,,,,
2024-11-17 05:28:34,,,,,,,,,,,,,3.30,,
2024-11-17 05:28:38,,,,,,,,,,,,0.00,,,
2024-11-17 05:29:00,,,,,,,,,0.00,,,,,,
2024-11-17 05:29:25,,,,,,,,,,,0.00,,,,
2024-11-17 05:29:46,,,0.00,,,,,,,,,,,,
2024-11-17 05:29:55,,,,,,,,,,,,,,0.00,
2024-11-17 05:30:03,,,,,,,,,,,,,,,0.76
2024-11-17 05:30:04,,1.27,,,,,,,,,,,,,
2024-11-17 05:30:29,,,,0.25,,,,,,,,,,,
2024-11-17 05:30:40,,,,,,1.02,,,,,,,,,
2024-11-17 05:30:43,1.00,,,,,,,,,,,,,,
2024-11-17 05:31:37,,,,,,,,,,1.27,,,,,
2024-11-17 05:31:48,,,,,,,0.00,,,,,,,,
2024-11-17 05:32:30,,,,,,,,0.00,,,,,,,
2024-11-17 05:33:34,,,,,0.00,,,,,,,,,,
2024-11-17 05:33:34,,,,,,,,,,,,,4.83,,
2024-11-17 05:33:38,,,,,,,,,,,,0.00,,,
2024-11-17 05:34:00,,,,,,,,,0.00,,,,,,
2024-11-17 05:34:25,,,,,,,,,,,0.00,,,,
2024-11-17 05:34:46,,,0.00,,,,,,,,,,,,
2024-11-17 05:34:55,,,,,,,,,,,,,,0.00,
2024-11-17 05:35:04,,1.52,,,,,,,,,,,,,0.00
2024-11-17 05:35:29,,,,0.25,,,,,,,,,,,
2024-11-17 05:35:40,,,,,,5.84,,,,,,,,,
2024-11-17 05:35:43,1.00,,,,,,,,,,,,,,
2024-11-17 05:36:37,,,,,,,,,,1.27,,,,,
2024-11-17 05:36:48,,,,,,,0.00,,,,,,,,
2024-11-17 05:37:30,,,,,,,,0.00,,,,,,,
2024-11-17 05:38:34,,,,,0.00,,,,,,,,,,
2024-11-17 05:38:34,,,,,,,,,,,,,4.83,,
2024-11-17 05:38:38,,,,,,,,,,,,0.00,,,
2024-11-17 05:39:00,,,,,,,,,0.00,,,,,,
2024-11-17 05:39:25,,,,,,,,,,,0.00,,,,
2024-11-17 05:39:47,,,0.00,,,,,,,,,,,,
2024-11-17 05:39:55,,,,,,,,,,,,,,0.00,
2024-11-17 05:40:04,,1.52,,,,,,,,,,,,,
2024-11-17 05:40:05,,,,,,,,,,,,,,,0.25
2024-11-17 05:40:29,,,,0.25,,,,,,,,,,,
2024-11-17 05:40:40,,,,,,8.13,,,,,,,,,
2024-11-17 05:40:43,1.00,,,,,,,,,,,,,,
2024-11-17 05:41:37,,,,,,,,,,1.27,,,,,
2024-11-17 05:41:48,,,,,,,0.00,,,,,,,,
2024-11-17 05:42:30,,,,,,,,0.00,,,,,,,
2024-11-17 05:43:34,,,,,2.29,,,,,,,,,,
2024-11-17 05:43:34,,,,,,,,,,,,,4.83,,
2024-11-17 05:43:38,,,,,,,,,,,,0.00,,,
2024-11-17 05:44:00,,,,,,,,,0.00,,,,,,
2024-11-17 05:44:25,,,,,,,,,,,0.00,,,,
2024-11-17 05:44:47,,,0.51,,,,,,,,,,,,
2024-11-17 05:44:55,,,,,,,,,,,,,,0.00,
2024-11-17 05:45:04,,1.52,,,,,,,,,,,,,
2024-11-17 05:45:05,,,,,,,,,,,,,,,0.25
2024-11-17 05:45:29,,,,2.29,,,,,,,,,,,
2024-11-17 05:45:40,,,,,,8.13,,,,,,,,,
2024-11-17 05:45:43,1.00,,,,,,,,,,,,,,
2024-11-17 05:46:37,,,,,,,,,,1.27,,,,,
2024-11-17 05:46:48,,,,,,,0.00,,,,,,,,
