"Time","Ciudad Vieja","Punta Carretas","Curva de Maroñas","La Blanqueada","Prado","Lezica","Casavalle","Carrasco","Manga","Cerro","Malvín","La Esperanza","Santiago Vázquez","Colón","Paso de la Arena"
2024-12-06 00:00:21,,,,,,,,,,0.00,,,,,
2024-12-06 00:00:30,,,,,0.00,,,,,,,,,,
2024-12-06 00:00:37,,,,,,0.00,,,,,,,,,
2024-12-06 00:01:00,,,,,,,,,,,0.00,,,,
2024-12-06 00:01:01,,,,,,,,,,,,0.00,,,
2024-12-06 00:01:15,,,,,,,,,,,,,,0.00,
2024-12-06 00:01:32,,0.00,,,,,,,,,,,,,0.00
2024-12-06 00:01:33,,,0.00,,,,,,,,,,,,
2024-12-06 00:01:53,,,,0.00,,,,,,,,,,,
2024-12-06 00:02:06,0.00,,,,,,,,,,,,,,
2024-12-06 00:02:25,,,,,,,,,0.00,,,,,,
2024-12-06 00:04:02,,,,,,,0.00,,,,,,,,
2024-12-06 00:04:55,,,,,,,,,,,,,0.00,,
2024-12-06 00:04:56,,,,,,,,0.00,,,,,,,
2024-12-06 00:05:21,,,,,,,,,,0.00,,,,,
2024-12-06 00:05:30,,,,,0.00,,,,,,,,,,
2024-12-06 00:05:37,,,,,,0.00,,,,,,,,,
2024-12-06 00:06:00,,,,,,,,,,,0.00,,,,
2024-12-06 00:06:01,,,,,,,,,,,,0.00,,,
2024-12-06 00:06:15,,,,,,,,,,,,,,0.00,
2024-12-06 00:06:32,,,,,,,,,,,,,,,0.00
2024-12-06 00:06:33,,0.00,0.00,,,,,,,,,,,,
2024-12-06 00:06:53,,,,0.00,,,,,,,,,,,
2024-12-06 00:07:06,0.00,,,,,,,,,,,,,,
2024-12-06 00:07:25,,,,,,,,,0.00,,,,,,
2024-12-06 00:09:02,,,,,,,0.00,,,,,,,,
2024-12-06 00:09:55,,,,,,,,,,,,,0.00,,
2024-12-06 00:09:56,,,,,,,,0.00,,,,,,,
2024-12-06 00:10:21,,,,,,,,,,0.00,,,,,
2024-12-06 00:10:30,,,,,0.00,,,,,,,,,,
2024-12-06 00:10:37,,,,,,0.00,,,,,,,,,
2024-12-06 00:11:00,,,,,,,,,,,0.00,,,,
2024-12-06 00:11:01,,,,,,,,,,,,0.00,,,
2024-12-06 00:11:15,,,,,,,,,,,,,,0.00,
2024-12-06 00:11:32,,,,,,,,,,,,,,,0.00
2024-12-06 00:11:33,,0.00,0.00,,,,,,,,,,,,
2024-12-06 00:11:53,,,,0.00,,,,,,,,,,,
2024-12-06 00:12:07,0.00,,,,,,,,,,,,,,
2024-12-06 00:12:25,,,,,,,,,0.00,,,,,,
2024-12-06 00:14:02,,,,,,,0.00,,,,,,,,
2024-12-06 00:14:55,,,,,,,,,,,,,0.00,,
2024-12-06 00:14:56,,,,,,,,0.00,,,,,,,
2024-12-06 00:15:21,,,,,,,,,,0.00,,,,,
2024-12-06 00:15:30,,,,,0.00,,,,,,,,,,
2024-12-06 00:15:37,,,,,,0.00,,,,,,,,,
2024-12-06 00:16:00,,,,,,,,,,,0.00,,,,
2024-12-06 00:16:01,,,,,,,,,,,,0.00,,,
2024-12-06 00:16:15,,,,,,,,,,,,,,0.00,
2024-12-06 00:16:32,,,,,,,,,,,,,,,0.00
2024-12-06 00:16:33,,0.00,0.00,,,,,,,,,,,,
2024-12-06 00:16:53,,,,0.00,,,,,,,,,,,
2024-12-06 00:17:06,0.00,,,,,,,,,,,,,,
2024-12-06 00:17:25,,,,,,,,,0.00,,,,,,
2024-12-06 00:19:02,,,,,,,0.00,,,,,,,,
2024-12-06 00:19:55,,,,,,,,,,,,,0.00,,
2024-12-06 00:19:57,,,,,,,,0.00,,,,,,,
2024-12-06 00:20:22,,,,,,,,,,0.00,,,,,
2024-12-06 00:20:30,,,,,0.00,,,,,,,,,,
2024-12-06 00:20:37,,,,,,0.00,,,,,,,,,
2024-12-06 00:21:00,,,,,,,,,,,0.00,,,,
2024-12-06 00:21:01,,,,,,,,,,,,0.00,,,
2024-12-06 00:21:15,,,,,,,,,,,,,,0.00,
2024-12-06 00:21:32,,,,,,,,,,,,,,,0.00
2024-12-06 00:21:33,,0.00,0.00,,,,,,,,,,,,
2024-12-06 00:21:53,,,,0.00,,,,,,,,,,,
2024-12-06 00:22:07,0.00,,,,,,,,,,,,,,
2024-12-06 00:22:25,,,,,,,,,0.00,,,,,,
2024-12-06 00:24:02,,,,,,,0.00,,,,,,,,
2024-12-06 00:24:55,,,,,,,,,,,,,0.00,,
2024-12-06 00:24:57,,,,,,,,0.00,,,,,,,
2024-12-06 00:25:22,,,,,,,,,,0.00,,,,,
2024-12-06 00:25:30,,,,,0.00,,,,,,,,,,
2024-12-06 00:25:37,,,,,,0.00,,,,,,,,,
2024-12-06 00:26:00,,,,,,,,,,,0.00,,,,
2024-12-06 00:26:01,,,,,,,,,,,,0.00,,,
2024-12-06 00:26:15,,,,,,,,,,,,,,0.00,
2024-12-06 00:26:32,,,,,,,,,,,,,,,0.00
2024-12-06 00:26:33,,0.00,0.00,,,,,,,,,,,,
2024-12-06 00:26:53,,,,0.00,,,,,,,,,,,
2024-12-06 00:27:06,0.00,,,,,,,,,,,,,,
2024-12-06 00:27:25,,,,,,,,,0.00,,,,,,
2024-12-06 00:29:02,,,,,,,0.00,,,,,,,,
2024-12-06 00:29:55,,,,,,,,,,,,,0.00,,
2024-12-06 00:29:57,,,,,,,,0.00,,,,,,,
2024-12-06 00:30:22,,,,,,,,,,0.00,,,,,
2024-12-06 00:30:30,,,,,0.00,,,,,,,,,,
2024-12-06 00:30:37,,,,,,0.00,,,,,,,,,
2024-12-06 00:31:00,,,,,,,,,,,0.00,,,,
2024-12-06 00:31:01,,,,,,,,,,,,0.00,,,
2024-12-06 00:31:15,,,,,,,,,,,,,,0.00,
2024-12-06 00:31:32,,,,,,,,,,,,,,,0.00
2024-12-06 00:31:33,,0.00,0.00,,,,,,,,,,,,
2024-12-06 00:31:53,,,,0.00,,,,,,,,,,,
2024-12-06 00:32:07,0.00,,,,,,,,,,,,,,
2024-12-06 00:32:25,,,,,,,,,0.00,,,,,,
2024-12-06 00:34:02,,,,,,,0.00,,,,,,,,
2024-12-06 00:34:55,,,,,,,,,,,,,0.00,,
2024-12-06 00:34:57,,,,,,,,0.00,,,,,,,
2024-12-06 00:35:22,,,,,,,,,,0.00,,,,,
2024-12-06 00:35:30,,,,,0.00,,,,,,,,,,
