Time,Ciudad Vieja,Punta Carretas,Curva de Maroñas,La Blanqueada,Prado,Lezica,Casavalle,Carrasco,Manga,Cerro,Felipe Cardoso,Malvín,La Esperanza,Santiago Vázquez,Colón,Paso de la Arena
2024-12-01 06:19:10,,,,,0.00,,,,,,,,,,,
2024-12-01 06:19:12,,,,,,0.00,,,,,,,,,,
2024-12-01 06:19:15,,,,,,,,,,0.00,,,,,,
2024-12-01 06:19:45,,,,,,,,,,,,,,,0.00,
2024-12-01 06:19:45,,,,,,,,,,,,,0.00,,,
2024-12-01 06:19:49,,,0.00,,,,,,,,,,,,,
2024-12-01 06:19:54,,,,,,,,,,,,,,,,0.00
2024-12-01 06:19:55,,0.00,,,,,,,,,,,,,,
2024-12-01 06:20:28,0.00,,,,,,,,,,,,,,,
2024-12-01 06:20:36,,,,,,,,,0.00,,,,,,,
2024-12-01 06:20:49,,,,,,,,,,,0.00,,,,,
2024-12-01 06:20:51,,,,0.00,,,,,,,,,,,,
2024-12-01 06:21:41,,,,,,,,,,,,0.00,,,,
2024-12-01 06:23:36,,,,,,,0.00,,,,,,,,,
2024-12-01 06:23:36,,,,,,,,,,,,,,0.00,,
2024-12-01 06:23:50,,,,,,,,0.00,,,,,,,,
2024-12-01 06:24:10,,,,,0.00,,,,,,,,,,,
2024-12-01 06:24:12,,,,,,0.00,,,,,,,,,,
2024-12-01 06:24:15,,,,,,,,,,0.00,,,,,,
2024-12-01 06:24:45,,,,,,,,,,,,,,,0.00,
2024-12-01 06:24:45,,,,,,,,,,,,,0.25,,,
2024-12-01 06:24:49,,,0.00,,,,,,,,,,,,,
2024-12-01 06:24:54,,,,,,,,,,,,,,,,0.00
2024-12-01 06:24:55,,0.00,,,,,,,,,,,,,,
2024-12-01 06:25:29,,,,,,,,,,,,,,,,
2024-12-01 06:25:36,,,,,,,,,0.00,,,,,,,
2024-12-01 06:25:49,,,,,,,,,,,0.00,,,,,
2024-12-01 06:25:51,,,,0.00,,,,,,,,,,,,
2024-12-01 06:26:41,,,,,,,,,,,,0.00,,,,
2024-12-01 06:28:36,,,,,,,0.00,,,,,,,,,
2024-12-01 06:28:36,,,,,,,,,,,,,,0.00,,
2024-12-01 06:28:50,,,,,,,,0.00,,,,,,,,
2024-12-01 06:29:10,,,,,0.00,,,,,,,,,,,
