"Descripción","longitud","latitud","Precipitación (mm)","Equipo","Dirección"
Pluviómetro - La Blanqueada,-56.164710028,-34.879588019,0,SOMS,Lucas Piriz y Quijote
Estación Meteorológica - Ciudad Vieja,-56.200982044,-34.902800024,0,Caif,Ciudadela y Cerro Largo
Estación Meteorológica - Curva de Maroñas,-56.133351149,-34.858904039,0,CCZ9,Av. 8 de Octubre y Marcos Sastre
Estación Meteorológica - Punta Carretas,-56.160146082,-34.934453024,0,Pta. Carretas,Cno. al Faro de Punta Carretas
Pluviómetro - Prado,-56.198514663,-34.853276135,0,Blanes,Av. Millán y Rbla. Francisco Lavalleja
Pluviómetro - Casavalle,-56.175729716,-34.833521624,0,Casavalle,Cno. General Leandro Gómez y Dr. José Martirene
Pluviómetro - Manga,-56.135410918,-34.783947528,0,Giraldez,Faros y Firmamento
Pluviómetro - Lezica,-56.235849336,-34.781220015,0,PAGRO,Cno. Hilario Cabrera prox. Ruta 102
Pluviómetro - Carrasco,-56.040681079,-34.872118025,0,A. y Lara,Av. Acosta y Lara y F. Garcia Lorca
Pluviómetro - Malvín,-56.113896081,-34.897690038,0,Colombes,Av. Colombes y Rbla. República de Chile
Pluviómetro - La Esperanza,-56.065294035,-34.789728024,0,La Esperanza,Av. Del Parque y Pasaje 9
Pluviómetro - Santiago Vázquez,-56.353039071,-34.787271037,0,Sgo. Vazquez,Guazunambi y La Barra
Pluviómetro - Cerro,-56.246299809,-34.888755307,0,Cerro,Egipto y Barcelona
Estación Meteorológica - Colón,-56.24654104,-34.819941013,0,Colón,M.Arregui y C.6 Verdisol
Estación Meteorológica - Paso de la Arena,-56.260874011,-34.84249902,0,Sarandí,Pintín Castellanos y Candales
Pluviómetro - Chacarita,-56.1061145,-34.8324482,0,Chacarita,Senda 3 y Senda 4
