Time,Carrasco
2024-11-17 04:54:25,
2024-11-17 04:54:46,
2024-11-17 04:54:55,
2024-11-17 04:55:02,
2024-11-17 04:55:04,
2024-11-17 04:55:29,
2024-11-17 04:55:40,
2024-11-17 04:55:43,
2024-11-17 04:56:36,
2024-11-17 04:56:48,
2024-11-17 04:57:30,1.0
2024-11-17 04:58:34,
2024-11-17 04:58:34,
2024-11-17 04:58:38,
2024-11-17 04:59:00,
2024-11-17 04:59:25,
2024-11-17 04:59:46,
2024-11-17 04:59:55,
2024-11-17 05:00:02,
2024-11-17 05:00:04,
2024-11-17 05:00:29,
2024-11-17 05:00:40,
2024-11-17 05:00:42,
2024-11-17 05:01:37,
2024-11-17 05:01:48,
2024-11-17 05:02:30,2.0
2024-11-17 05:03:34,
2024-11-17 05:03:34,
2024-11-17 05:03:38,
2024-11-17 05:04:00,
2024-11-17 05:04:25,
2024-11-17 05:04:46,
2024-11-17 05:04:55,
2024-11-17 05:05:02,
2024-11-17 05:05:04,
2024-11-17 05:05:29,
2024-11-17 05:05:40,
2024-11-17 05:05:44,
2024-11-17 05:06:37,
2024-11-17 05:06:48,
2024-11-17 05:07:30,0.0
2024-11-17 05:08:34,
2024-11-17 05:08:34,
2024-11-17 05:08:38,
2024-11-17 05:09:00,
2024-11-17 05:09:25,
2024-11-17 05:09:46,
2024-11-17 05:09:55,
2024-11-17 05:10:02,
2024-11-17 05:10:04,
2024-11-17 05:10:29,
2024-11-17 05:10:40,
2024-11-17 05:10:42,
2024-11-17 05:11:37,
2024-11-17 05:11:48,
2024-11-17 05:12:30,0.0
2024-11-17 05:13:34,
2024-11-17 05:13:34,
2024-11-17 05:13:38,
2024-11-17 05:14:00,
2024-11-17 05:14:25,
2024-11-17 05:14:46,
2024-11-17 05:14:55,
2024-11-17 05:15:02,
2024-11-17 05:15:04,
2024-11-17 05:15:29,
2024-11-17 05:15:40,
2024-11-17 05:15:42,
2024-11-17 05:16:37,
2024-11-17 05:16:48,
2024-11-17 05:17:30,0.0
2024-11-17 05:18:34,
2024-11-17 05:18:34,
2024-11-17 05:18:38,
2024-11-17 05:19:00,
2024-11-17 05:19:25,
2024-11-17 05:19:46,
2024-11-17 05:19:55,
2024-11-17 05:20:02,
2024-11-17 05:20:04,
2024-11-17 05:20:29,
2024-11-17 05:20:40,
2024-11-17 05:20:42,
2024-11-17 05:21:37,
2024-11-17 05:21:48,
2024-11-17 05:22:30,0.0
2024-11-17 05:23:34,
2024-11-17 05:23:34,
2024-11-17 05:23:38,
2024-11-17 05:24:00,
2024-11-17 05:24:25,
2024-11-17 05:24:46,
2024-11-17 05:24:55,
2024-11-17 05:25:02,
2024-11-17 05:25:04,
2024-11-17 05:25:29,
2024-11-17 05:25:40,
2024-11-17 05:25:43,
2024-11-17 05:26:37,
2024-11-17 05:26:48,
2024-11-17 05:27:30,0.0
2024-11-17 05:28:34,
2024-11-17 05:28:34,
2024-11-17 05:28:38,
2024-11-17 05:29:00,
2024-11-17 05:29:25,
2024-11-17 05:29:46,
2024-11-17 05:29:55,
2024-11-17 05:30:03,
2024-11-17 05:30:04,
2024-11-17 05:30:29,
2024-11-17 05:30:40,
2024-11-17 05:30:43,
2024-11-17 05:31:37,
2024-11-17 05:31:48,
2024-11-17 05:32:30,0.0
2024-11-17 05:33:34,
2024-11-17 05:33:34,
2024-11-17 05:33:38,
2024-11-17 05:34:00,
2024-11-17 05:34:25,
2024-11-17 05:34:46,
2024-11-17 05:34:55,
2024-11-17 05:35:04,
2024-11-17 05:35:29,
2024-11-17 05:35:40,
2024-11-17 05:35:43,
2024-11-17 05:36:37,
2024-11-17 05:36:48,
2024-11-17 05:37:30,0.0
2024-11-17 05:38:34,
2024-11-17 05:38:34,
2024-11-17 05:38:38,
2024-11-17 05:39:00,
2024-11-17 05:39:25,
2024-11-17 05:39:47,
2024-11-17 05:39:55,
2024-11-17 05:40:04,
2024-11-17 05:40:05,
2024-11-17 05:40:29,
2024-11-17 05:40:40,
2024-11-17 05:40:43,
2024-11-17 05:41:37,
2024-11-17 05:41:48,
2024-11-17 05:42:30,0.0
2024-11-17 05:43:34,
2024-11-17 05:43:34,
2024-11-17 05:43:38,
2024-11-17 05:44:00,
2024-11-17 05:44:25,
2024-11-17 05:44:47,
2024-11-17 05:44:55,
2024-11-17 05:45:04,
2024-11-17 05:45:05,
2024-11-17 05:45:29,
2024-11-17 05:45:40,
2024-11-17 05:45:43,
2024-11-17 05:46:37,
2024-11-17 05:46:48,
2024-11-17 05:47:32,0.51
2024-11-17 05:48:34,
2024-11-17 05:48:34,
2024-11-17 05:48:38,
2024-11-17 05:49:00,
2024-11-17 05:49:25,
2024-11-17 05:49:47,
2024-11-17 05:49:55,
2024-11-17 05:50:05,
2024-11-17 05:50:29,
2024-11-17 05:50:40,
2024-11-17 05:50:43,
2024-11-17 05:51:37,
2024-11-17 05:51:48,
2024-11-17 05:52:32,5.84
2024-11-17 05:53:34,
2024-11-17 05:53:34,
2024-11-17 05:53:38,
2024-11-17 05:54:00,
2024-11-17 05:54:25,
2024-11-17 05:54:47,
2024-11-17 05:54:55,
2024-11-17 05:55:05,
2024-11-17 05:55:29,
2024-11-17 05:55:40,
2024-11-17 05:55:44,
2024-11-17 05:56:37,
2024-11-17 05:56:48,
2024-11-17 05:57:32,9.4
2024-11-17 05:58:34,
2024-11-17 05:58:34,
2024-11-17 05:58:38,
2024-11-17 05:59:00,
2024-11-17 05:59:25,
2024-11-17 05:59:47,
2024-11-17 05:59:55,
2024-11-17 06:00:05,
2024-11-17 06:00:29,
2024-11-17 06:00:40,
2024-11-17 06:00:43,
2024-11-17 06:01:37,
2024-11-17 06:01:48,
2024-11-17 06:02:32,10.16
2024-11-17 06:03:34,
2024-11-17 06:03:34,
2024-11-17 06:04:00,
2024-11-17 06:04:25,
2024-11-17 06:04:47,
2024-11-17 06:04:56,
2024-11-17 06:05:05,
2024-11-17 06:05:29,
2024-11-17 06:05:40,
2024-11-17 06:05:44,
2024-11-17 06:06:37,
2024-11-17 06:06:48,
2024-11-17 06:07:32,10.16
2024-11-17 06:08:34,
2024-11-17 06:08:34,
2024-11-17 06:09:00,
2024-11-17 06:09:25,
2024-11-17 06:09:56,
2024-11-17 06:10:05,
2024-11-17 06:10:06,
2024-11-17 06:10:29,
2024-11-17 06:10:40,
2024-11-17 06:10:43,
2024-11-17 06:11:37,
2024-11-17 06:11:48,
2024-11-17 06:12:32,10.16
2024-11-17 06:13:34,
2024-11-17 06:13:34,
2024-11-17 06:14:00,
2024-11-17 06:14:25,
2024-11-17 06:14:56,
2024-11-17 06:15:05,
2024-11-17 06:15:06,
2024-11-17 06:15:29,
2024-11-17 06:15:40,
2024-11-17 06:15:43,
2024-11-17 06:16:37,
2024-11-17 06:16:48,
2024-11-17 06:17:32,10.16
2024-11-17 06:18:34,
2024-11-17 06:18:34,
2024-11-17 06:19:00,
2024-11-17 06:19:25,
2024-11-17 06:19:56,
2024-11-17 06:20:05,
2024-11-17 06:20:06,
2024-11-17 06:20:29,
2024-11-17 06:20:40,
2024-11-17 06:20:43,
2024-11-17 06:21:37,
2024-11-17 06:21:48,
2024-11-17 06:22:32,10.16
2024-11-17 06:23:34,
2024-11-17 06:23:34,
2024-11-17 06:24:01,
